3MA	[np] - 3MA [np]
fonction	[n] - función [n]
fonction égalitaire	[n.f] - cargo igualitario [n.m]
fonctionnaire	[n.mf] - funcionario [n.f]
fonctionnaire	[n.mf] - funcionario [n.GD]
fonctionnaire	[n.mf] - funcionario [n.m]
fonctionnalité	[n] - funcionalidad [n]
fonctionnel	[adj.f] - funcional [adj.mf]
fonctionnel	[adj.GD] - funcional [adj.mf]
fonctionnel	[adj.m] - funcional [adj.mf]
fonctionnement	[n] - funcionamiento [n]
fonctionner	[vblex] - funcionar [vblex]
fond	[n] - fondo [n]
fond	[n] - trasfondo [n]
fond alternatif	[n] - hedge fund [n]
Fond Mondial pour la Nature	[np] - Fondo Mundial para la Naturaleza [np]
fondamental	[adj.f] - fundamental [adj.mf]
fondamental	[adj.GD] - fundamental [adj.mf]
fondamental	[adj.m] - fundamental [adj.mf]
fondamentalement	[adv] - fundamentalmente [adv]
fondamentaliste	[n] - fundamentalista [n]
fondateur	[n] - fundador [n]
fondation	[n] - fundación [n]
fondement	[n] - cimiento [n]
fondement	[n] - fundamento [n]
fonder	[vblex] - fundamentar [vblex]
fonder	[vblex] - fundar [vblex]
fondre	[vblex] - fundir [vblex]
fonds publics	[n.m.pl] - fondo público [n.m.pl]
fonds publics	[n.m.pl] - fondo público [n.m.sg]
fongestión	[np] - fongestión [np]
Font	[np] - Font [np]
Fontaine	[np] - Fontaine [np]
fonte	[n.f] - deshielo [n.m]
Fontecruz	[np] - Fontecruz [np]
Fonteta	[np] - Fonteta [np]
foot	[n] - fútbol [n]
football	[n] - fútbol [n]
footballeur	[n.f] - futbolista [n.mf]
footballeur	[n.GD] - futbolista [n.mf]
footballeur	[n.m] - futbolista [n.mf]
forage	[n.m] - perforación [n.f]
foral	[adj.f] - foral [adj.mf]
foral	[adj.GD] - foral [adj.mf]
foral	[adj.m] - foral [adj.mf]
Forbes	[np] - Forbes [np]
Forcada	[np] - Forcada [np]
force	[n] - contundencia [n]
force	[n] - fuerza [n]
forcer	[vblex] - forzar [vblex]
forcé	[adj] - forzoso [adj]
forcément	[adv] - obligatoriamente [adv]
Ford	[np] - Ford [np]
Forest	[np] - Forest [np]
forestier	[adj.f] - forestal [adj.mf]
forestier	[adj.GD] - forestal [adj.mf]
forestier	[adj.m] - forestal [adj.mf]
Foret Noire	[np] - Selva Negra [np]
forfait	[n] - forfait [n]
forger	[vblex] - forjar [vblex]
forgeron	[n] - herrero [n]
formalisation	[n] - formalización [n]
formaliser	[vblex] - formalizar [vblex]
formaliser un crédit	[vblex] - formalizar un crédito [vblex]
formalité	[n] - formalidad [n]
format	[n] - formato [n]
formater	[vblex] - formatear [vblex]
formateur	[n] - formador [n]
formatif	[adj] - formativo [adj]
formation	[n] - formación [n]
forme	[n.f] - forma [n.f]
formel	[adj.f] - formal [adj.mf]
formel	[adj.GD] - formal [adj.mf]
formel	[adj.m] - formal [adj.mf]
formellement	[adv] - formalmente [adv]
Formentera	[np] - Formentera [np]
former	[vblex] - formar [vblex]
formidable	[adj] - formidable [adj]
formulaire	[n] - formulario [n]
formulation	[n] - formulación [n]
formule	[n] - fórmula [n]
formuler	[vblex] - formular [vblex]
formuler des propositions	[vblex] - formular propuestas [vblex]
formuler des réclamations	[vblex] - formular reclamaciones [vblex]
Forn	[np] - Forn [np]
Fornaciari	[np] - Fornaciari [np]
Foro Ermua	[np] - Foro Ermua [np]
Foronda	[np] - Foronda [np]
Forster	[np] - Forster [np]
Fort	[np] - Fort [np]
fort	[adj.f] - fuerte [adj.mf]
fort	[adj.GD] - fuerte [adj.mf]
fort	[adj.m] - fuerte [adj.mf]
fort	[adv] - fuerte [adv]
Fort-de-France	[np] - Fort-de-France [np]
Fortea	[np] - Fortea [np]
fortement	[adv] - fuertemente [adv]
forteresse	[n] - fortaleza [n]
fortification	[n] - fortificación [n]
fortifier	[vblex] - fortalecer [vblex]
Fortis	[np] - Fortis [np]
fortuitement	[adv] - casualmente [adv]
fortune	[n] - fortuna [n]
fortuné	[adj] - acaudalado [adj]
fortuné	[adj] - afortunado [adj]
forum	[n] - foro [n]
forum	[n] - fórum [n]
Forética	[np] - Forética [np]
forêt	[n.f] - bosque [n.m]
forêt	[n] - selva [n]
Fos-sur-Mer	[np] - Fos-sur-Mer [np]
Fosse d'Amérique Centrale	[np] - Fosa de América Central [np]
Fosse des Aléoutiennes	[np] - Fosa de las Aleutianas [np]
Fosse des Kouriles	[np] - Fosa de las Kuriles [np]
Fosse des Mariannes	[np] - Fosa de las Marianas [np]
fossile	[n] - fósil [n]
fossé	[n.m] - zanja [n.f]
fossé	[n] - cuneta [n]
Fothen	[np] - Fothen [np]
fou	[adj] - loco [adj]
Fouad	[np] - Fouad [np]
foudroyant	[adj.f] - fulminante [adj.mf]
foudroyant	[adj.GD] - fulminante [adj.mf]
foudroyant	[adj.m] - fulminante [adj.mf]
fouiller	[vblex] - cachear [vblex]
foulard	[n] - foulard [n]
foulard	[n] - fular [n]
foule	[n] - muchedumbre [n]
foule	[n] - multitud [n]
fouler	[vblex] - hollar [vblex]
fouler	[vblex] - pisar [vblex]
foulure	[n.f] - esguince [n.m]
four	[n] - horno [n]
fourche	[n] - horquilla [n]
fourchette	[n.f] - tenedor [n.m]
Fourest	[np] - Fourest [np]
fourgon	[n] - furgón [n]
fourgonnette	[n] - furgoneta [n]
fourmi	[n] - hormiga [n]
fourmilière	[n.f] - hormiguero [n.m]
fournir	[vblex] - proporcionar [vblex]
fournir	[vblex] - surtir [vblex]
fournisseur	[n] - proveedor y suministrador [n]
fournisseur	[n] - proveedor [n]
fournisseur	[n] - suministrador [n]
fourniture	[n.f] - suministro [n.m]
Fourquet	[np] - Fourquet [np]
fourrer	[vblex] - forrar [vblex]
fourrer son grain de sel	[vblex] - echar su cuarto a espadas [vblex]
fourrure	[n.f] - piel [n.f]
Fox	[np] - Fox [np]
foyer	[n.m] - hogar [n.m]
foyer	[n] - foco [n]
foyer de retraités	[n] - hogar del jubilado [n]
foyer de retraités	[n] - hogar del pensionista [n]
FP	[np.al] - FP [np.al]
fraction	[n] - fracción [n]
fractionner	[vblex] - fraccionar [vblex]
fracture	[n] - fractura [n]
fragile	[adj] - frágil [adj]
fragilité	[n] - fragilidad [n]
fragment	[n] - fragmento [n]
fragmentation	[n] - fragmentación [n]
fragmenter	[vblex] - fragmentar [vblex]
frais	[adj.f] - fresco [adj.f]
frais	[adj.m.sp] - fresco [adj.m.ND]
frais	[adj.m.sp] - fresco [adj.m.pl]
frais	[adj.m.sp] - fresco [adj.m.sg]
frais	[n.m.sp] - fresco [n.m.ND]
frais	[n.m.sp] - fresco [n.m.pl]
frais	[n.m.sp] - fresco [n.m.sg]
frais	[n.m.sp] - gtos [n.m.pl]
frais de personnel	[n] - gastos de personal [n]
frais de port	[n] - gastos de correo [n]
fraise	[n] - fresa [n]
Fran	[np] - Fran [np]
franc	[adj] - franco [adj]
franc	[n] - franco [n]
France	[np] - Francia [np]
France 3	[np] - France 3 [np]
France Télévisions	[np] - France Télévisions [np]
Francesc	[np] - Francesc [np]
Francesc Antich Oliver	[np] - Francesc Antich Oliver [np]
Francesco	[np] - Francesco [np]
Francesco Mazzola	[np] - Francisco Mazzola [np]
Francfort	[np] - Frankfurt [np]
Franche-Comté	[np] - Franco Condado [np]
franchement	[adv] - a decir verdad [adv]
franchement	[adv] - francamente [adv]
franchir	[vblex] - franquear [vblex]
franchir	[vblex] - superar [vblex]
franchise	[n] - franquicia [n]
Francine	[np] - Francine [np]
Francis	[np] - Francis [np]
Francis Bacon	[np] - Francis Bacon [np]
Francisca	[np] - Francisca [np]
Francisco	[np] - Francisco [np]
Francisco Camps	[np] - Francisco Camps [np]
Franck	[np] - Franck [np]
Franco	[np] - Franco [np]
franco-canadien	[adj.f] - francocanadiense [adj.mf]
franco-canadien	[adj.GD] - francocanadiense [adj.mf]
franco-canadien	[adj.m] - francocanadiense [adj.mf]
franco-colombien	[adj] - franco-colombiano [adj]
francophonie	[n] - francofonía [n]
frange	[n] - franja [n]
Frangy-en-Bresse	[np] - Frangy-en-Bresse [np]
Frank	[np] - Frank [np]
Frank Bainimarama	[np] - Frank Bainimarama [np]
Franklin	[np] - Franklin [np]
franquisme	[n] - franquismo [n]
franquiste	[adj] - franquista [adj]
Franz	[np] - Franz [np]
français	[adj.f] - francés [adj.f]
français	[adj.f] - galo [adj.f]
français	[adj.m.sp] - francés [adj.m.ND]
français	[adj.m.sp] - francés [adj.m.pl]
français	[adj.m.sp] - francés [adj.m.sg]
français	[adj.m.sp] - galo [adj.m.pl]
français	[adj.m.sp] - galo [adj.m.sg]
français	[n.f] - francés [n.f]
français	[n.f] - galo [n.f]
français	[n.m.sp] - francés [n.m.ND]
français	[n.m.sp] - francés [n.m.pl]
français	[n.m.sp] - francés [n.m.sg]
français	[n.m.sp] - galo [n.m.pl]
français	[n.m.sp] - galo [n.m.sg]
François	[np] - François [np]
François Bozizé	[np] - François Bozizé [np]
François Fillon	[np] - François Fillon [np]
Françoise	[np] - Françoise [np]
frappant	[adj] - asombroso [adj]
frappe de la tête	[n.f] - remate de cabeza [n.m]
frapper	[vblex] - acuñar [vblex]
frapper	[vblex] - azotar [vblex]
frapper	[vblex] - golpear [vblex]
frapper à la mauvaise porte	[vblex] - andar descaminado [vblex]
fraterniser	[vblex] - hermanar [vblex]
fraternité	[n] - fraternidad [n]
fraternité	[n] - hermandad [n]
fraude	[n] - fraude [n]
frauder le fisc	[vblex] - defraudar a hacienda [vblex]
frauduleux	[adj.f] - fraudulento [adj.f]
frauduleux	[adj.m.sp] - fraudulento [adj.m.ND]
frauduleux	[adj.m.sp] - fraudulento [adj.m.pl]
frauduleux	[adj.m.sp] - fraudulento [adj.m.sg]
frayeur	[n.f] - susto [n.m]
fraîcheur	[n.f] - frescor [n.m]
fraîcheur	[n.f] - frescura [n.f]
Frears	[np] - Frears [np]
Fred	[np] - Fred [np]
Freddy	[np] - Freddy [np]
Freetown	[np] - Freetown [np]
frein	[n] - freno [n]
freiner	[vblex] - frenar [vblex]
Freire	[np] - Freire [np]
fresque	[n.f] - fresco [n.m]
friandise	[n] - chuchería [n]
Fribourg	[np] - Friburgo [np]
friction	[n] - fricción [n]
Friedman	[np] - Friedman [np]
frigidaire	[n] - frigorífico [n]
frigorifique	[adj.mf] - frigorífico [adj.f]
frigorifique	[adj.mf] - frigorífico [adj.GD]
frigorifique	[adj.mf] - frigorífico [adj.m]
Frise	[np] - Frisia [np]
friser	[vblex] - rizar [vblex]
froid	[adj] - frío [adj]
froid	[n] - frío [n]
froidement	[adv] - fríamente [adv]
froideur	[n] - frialdad [n]
fromage	[n] - queso [n]
fromage de brebis	[n] - queso de oveja [n]
fromagerie	[n] - quesería [n]
froment	[n] - trigo [n]
froncer	[vblex] - fruncir [vblex]
front	[n.m] - frente [n.mf]
Front de Libération Nationale	[np] - Frente de Liberación Nacional [np]
frontal	[adj.f] - frontal [adj.mf]
frontal	[adj.GD] - frontal [adj.mf]
frontal	[adj.m] - frontal [adj.mf]
frontalement	[adv] - frontalmente [adv]
frontalier	[adj] - fronterizo [adj]
Fronte Populaire	[np] - Frente Popular [np]
frontière	[n] - frontera [n]
fronton	[n] - frontón [n]
frotter	[vblex] - fregar [vblex]
frotter	[vblex] - frotar [vblex]
frotter	[vblex] - rozar [vblex]
fructueux	[adj.f] - fructífero [adj.f]
fructueux	[adj.m.sp] - fructífero [adj.m.ND]
fructueux	[adj.m.sp] - fructífero [adj.m.pl]
fructueux	[adj.m.sp] - fructífero [adj.m.sg]
fruit	[n.m] - fruta [n.f]
fruit	[n] - fruto [n]
fruits de mer	[n.m.pl] - marisco [n.m.pl]
fruits de mer	[n.m.pl] - marisco [n.m.sg]
fruité	[adj] - afrutado [adj]
frustration	[n] - frustración [n]
frustrer	[vblex] - frustrar [vblex]
frère	[n.m] - hermano [n.m]
Frédéric	[np] - Frédéric [np]
Frédéric I Barberousse	[np] - Federico I Barbarroja [np]
Frédéric II le Grand	[np] - Federico II el Grande [np]
frénétique	[adj.mf] - frenético [adj.f]
frénétique	[adj.mf] - frenético [adj.GD]
frénétique	[adj.mf] - frenético [adj.m]
fréquemment	[adv] - frecuentemente [adv]
fréquence	[n] - frecuencia [n]
fréquent	[adj.f] - frecuente [adj.mf]
fréquent	[adj.GD] - frecuente [adj.mf]
fréquent	[adj.m] - frecuente [adj.mf]
fréquentation	[n.f] - alterne [n.m]
fréquentation	[n] - frecuentación [n]
fréquenter	[vblex] - frecuentar [vblex]
fréter	[vblex] - fletar [vblex]
frété	[adj] - fletado [adj]
frêle	[adj] - endeble [adj]
frôlement	[n] - roce [n]
Fuenlabrada	[np] - Fuenlabrada [np]
fuero	[n] - fuero [n]
Fuerteventura	[np] - Fuerteventura [np]
fugace	[adj] - fugaz [adj]
fuir	[vblex] - huir [vblex]
fuite	[n] - fuga [n]
fuite	[n] - huida [n]
Fuji	[np] - Fuji [np]
Fuji-Yama	[np] - Fuji Yama [np]
fumer	[vblex] - ahumar [vblex]
fumer	[vblex] - fumar [vblex]
fumeur	[adj] - fumador [adj]
fumeur	[n] - fumador [n]
fumée	[n.f] - humo [n.m]
Funafuti	[np] - Funafuti [np]
funèbre	[adj] - fúnebre [adj]
funéraire	[adj.mf] - funerario [adj.f]
funéraire	[adj.mf] - funerario [adj.GD]
funéraire	[adj.mf] - funerario [adj.m]
fureur	[n.f] - furor [n.m]
furie	[n] - furia [n]
furieux	[adj.f] - furioso [adj.f]
furieux	[adj.m.sp] - furioso [adj.m.ND]
furieux	[adj.m.sp] - furioso [adj.m.pl]
furieux	[adj.m.sp] - furioso [adj.m.sg]
fusil	[n] - fusil [n]
fusil de chasse	[n.m] - escopeta [n.f]
fusillade	[n.f] - tiroteo [n.m]
fusion	[n] - fusión [n]
fusionner	[vblex] - fusionar [vblex]
Fuster	[np] - Fuster [np]
fusée	[n] - bengala [n]
Futalognkosaurus	[np] - Futalognkosaurus [np]
futur	[adj] - futuro [adj]
futur	[n] - futuro [n]
futur financier	[n] - futuro financiero [n]
FVR	[n.acr] - FVR [n.acr]
FVR	[n] - FVR [n]
Fátima	[np] - Fátima [np]
Fès	[np] - Fez [np]
fève	[n] - haba [n]
fébrilité	[n] - febrilidad [n]
fécondation	[n] - fecundación [n]
fécondité	[n] - fecundidad [n]
fédéral	[adj.f] - federal [adj.mf]
fédéral	[adj.GD] - federal [adj.mf]
fédéral	[adj.m] - federal [adj.mf]
fédéralisme	[n] - federalismo [n]
fédératif	[adj] - federativo [adj]
fédération	[n] - federación [n]
Fédération d'aviron de Cantabria	[np] - Federación Cántabra de Remo [np]
Fédération de Russie	[np] - Federación Rusa [np]
fédérer	[vblex] - federar [vblex]
Fédéric	[np] - Fédéric [np]
félicitation	[n] - felicitación [n]
féliciter	[vblex] - felicitar [vblex]
félicité	[n] - felicidad [n]
Félix	[np] - Félix [np]
féminin	[adj] - femenino [adj]
féminin	[n] - femenino [n]
féminisation	[n] - feminización [n]
féministe	[adj] - feminista [adj]
féminité	[n] - feminidad [n]
fémoral	[adj.f] - femoral [adj.mf]
fémoral	[adj.GD] - femoral [adj.mf]
fémoral	[adj.m] - femoral [adj.mf]
férié	[adj] - festivo [adj]
féroce	[adj] - feroz [adj]
férocité	[n] - ferocidad [n]
Féroé	[np] - Faroe [np]
fév.	[n] - feb. [n]
février	[n] - febrero [n]
fête	[n] - fiesta [n]
fête	[n] - verbena [n]
fêter	[vblex] - celebrar [vblex]
fêter	[vblex] - festejar [vblex]
g	[n.m] - g [n.f]
G8	[n.acr] - G8 [n.acr]
Gabilondo	[np] - Gabilondo [np]
Gabini	[np] - Gabini [np]
Gabino	[np] - Gabino [np]
Gabon	[np] - Gabón [np]
Gaborone	[np] - Gaborone [np]
Gabriel	[np] - Gabriel [np]
Gabriela	[np] - Gabriela [np]
Gabriele Falloppio	[np] - Gabriele Falloppio [np]
Gadea	[np] - Gadea [np]
gadget	[n] - artilugio [n]
Gaditan	[n] - Gaditano [n]
gaditan	[adj] - gaditano [adj]
Gadonneix	[np] - Gadonneix [np]
Gadé	[np] - Gadé [np]
Gael	[np] - Gael [np]
gaffe	[n] - metedura de pata [n]
Gagarine	[np] - Gagarin [np]
gage	[n.m] - prenda [n.f]
gageure	[n] - apuesta [n]
gagnant	[adj] - agraciado [adj]
gagnant	[adj] - ganador [adj]
gagnant	[adj] - premiado [adj]
gagnant	[n] - ganador [n]
gagner	[vblex] - ganar [vblex]
gagner sa croûte	[vblex] - ganar el pan [vblex]
Gago	[np] - Gago [np]
gai	[adj.f] - alegre [adj.mf]
gai	[adj.GD] - alegre [adj.mf]
gai	[adj.m] - alegre [adj.mf]
gaieté	[n] - joya [n]
gaillard	[n] - chaval [n]
gain	[n.m] - ganancia [n.f]
Gainsbourg	[np] - Gainsbourg [np]
Gaizka	[np] - Gaizka [np]
gala	[n.m] - gala [n.f]
Galarraga	[np] - Galarraga [np]
Galatas	[np] - Galatas [np]
Galatie	[np] - Galacia [np]
Galatée	[np] - Galatea [np]
galaxie	[n] - galaxia [n]
Galdakao	[np] - Galdakao [np]
Galdeano	[np] - Galdeano [np]
Galego	[np] - Galego [np]
Galeno	[np] - Galeno [np]
galerie	[n.f] - socavón [n.m]
galerie	[n] - galería [n]
galette de maïs	[n.f] - talo [n.m]
Galiana	[np] - Galiana [np]
Galice	[np] - Galicia [np]
galicien	[adj] - gallego [adj]
galicien	[n] - gallego [n]
Galien	[np] - Galeno [np]
Galileo Galilei	[np] - Galileo Galilei [np]
Galilée	[np] - Galileo [np]
Galindo	[np] - Galindo [np]
Gallardo	[np] - Gallardo [np]
Gallardón	[np] - Gallardón [np]
Galles	[np] - Gales [np]
Gallimard	[np] - Gallimard [np]
galopant	[adj.f] - galopante [adj.mf]
galopant	[adj.GD] - galopante [adj.mf]
galopant	[adj.m] - galopante [adj.mf]
Galvez	[np] - Galvez [np]
Galván	[np] - Galván [np]
Galán	[np] - Galán [np]
Galère	[np] - Galerio [np]
galérer	[vblex] - padecer [vblex]
Gamarra	[np] - Gamarra [np]
Gambari	[np] - Gambari [np]
Gambie	[np] - Gambia [np]
Gamble	[np] - Gamble [np]
Gamesa	[np] - Gamesa [np]
Gamiz	[np] - Gamiz [np]
gamme	[n] - gama [n]
Ganbara	[np] - Ganbara [np]
Ganbaratik	[np] - Ganbaratik [np]
Gand	[np] - Gante [np]
Gandhi	[np] - Gandhi [np]
Gandia	[np] - Gandia [np]
Gandía	[np] - Gandía [np]
gant	[n] - guante [n]
Gantour	[np] - Gantour [np]
Ganymède	[np] - Ganímedes [np]
Gap	[np] - Gap [np]
Gara	[np] - Gara [np]
garage	[n] - garaje [n]
Garai	[np] - Garai [np]
Garaikoetxea	[np] - Garaikoetxea [np]
Garaizar	[np] - Garaizar [np]
Garamendi	[np] - Garamendi [np]
garant	[n.f] - avalista [n.mf]
garant	[n.f] - garante [n.mf]
garant	[n.GD] - avalista [n.mf]
garant	[n.GD] - garante [n.mf]
garant	[n.m] - avalista [n.mf]
garant	[n.m] - garante [n.mf]
garantie	[n] - garantía [n]
garantie hypothécaire	[n] - garantía hipotecaria [n]
garantir	[vblex] - garantizar [vblex]
Garate	[np] - Garate [np]
Garay	[np] - Garay [np]
Garbajosa	[np] - Garbajosa [np]
Garci	[np] - Garci [np]
Garcia	[np] - Garcia [np]
Garcilaso	[np] - Garcilaso [np]
Garcés	[np] - Garcés [np]
García	[np] - García [np]
Gard	[np] - Gard [np]
garde	[n] - custodia [n]
garde	[n] - guardia [n]
garde civile	[n] - guardia civil [n]
garde des sceaux	[n.mf] - ministro de justicia [n.f]
garde des sceaux	[n.mf] - ministro de justicia [n.m]
garde du corps	[n.mf.ND] - guardaespaldas [n.mf.sp]
garde du corps	[n.mf.pl] - guardaespaldas [n.mf.sp]
garde du corps	[n.mf.sg] - guardaespaldas [n.mf.sp]
garde-manger	[n.m] - despensa [n.f]
garde-robe	[n.f] - ropero [n.m]
garde-robe	[n.f] - vestuario [n.m]
garder	[vblex] - guardar [vblex]
garderie	[n] - guardería [n]
gardien	[n] - cuidador [n]
gardien	[n] - guardián [n]
gardien de but	[n.GD] - guardameta [n.mf]
gardien de but	[n] - cancerbero [n]
Gardner	[np] - Gardner [np]
gare	[n] - estación [n]
garer	[vblex] - aparcar [vblex]
Garfield	[np] - Garfield [np]
Gargallo	[np] - Gargallo [np]
Gari	[np] - Gari [np]
Garibai	[np] - Garibai [np]
Garikoitz	[np] - Garikoitz [np]
Garitano	[np] - Garitano [np]
Garmendia	[np] - Garmendia [np]
Garnier	[np] - Garnier [np]
Garonne	[np] - Garona [np]
Garrido	[np] - Garrido [np]
Garrigues	[np] - Garrigues [np]
Garrigós	[np] - Garrigós [np]
Garrison	[np] - Garrison [np]
Garrotxa	[np] - Garrotxa [np]
Gary	[np] - Gary [np]
Garzón	[np] - Garzón [np]
garçon	[n.m] - camarero [n.f]
garçon	[n.m] - camarero [n.m]
garçon	[n.m] - chico [n.m]
garçon	[n.m] - chiquillo [n.m]
garçon	[n.m] - muchacho [n.m]
Gascogne	[np] - Gascuña [np]
gascon	[adj] - gascón [adj]
Gascón	[np] - Gascón [np]
gasoil	[n] - gasóleo [n]
Gasol	[np] - Gasol [np]
Gaspar	[np] - Gaspar [np]
Gaspar Astete	[np] - Gaspar Astete [np]
gaspillage	[n] - derroche [n]
gaspillage	[n] - despilfarro [n]
Gasquet	[np] - Gasquet [np]
Gasset	[np] - Gasset [np]
Gasteiz	[np] - Gasteiz [np]
Gaston	[np] - Gaston [np]
gastronomie	[n] - gastronomía [n]
gastronomique	[adj.mf] - gastronómico [adj.f]
gastronomique	[adj.mf] - gastronómico [adj.GD]
gastronomique	[adj.mf] - gastronómico [adj.m]
Gates	[np] - Gates [np]
GATT	[n.acr] - GATT [n.acr]
Gatz	[np] - Gatz [np]
gauche	[adj.mf] - izquierdo [adj.f]
gauche	[adj.mf] - izquierdo [adj.GD]
gauche	[adj.mf] - izquierdo [adj.m]
gauche	[n] - izquierda [n]
Gaudí	[np.ant] - Gaudí [np.ant]
Gaule	[np] - Galia [np]
Gaulle	[np] - Gaulle [np]
gaulois	[adj.f] - galo [adj.f]
gaulois	[adj.m.sp] - galo [adj.m.ND]
gaulois	[adj.m.sp] - galo [adj.m.pl]
gaulois	[adj.m.sp] - galo [adj.m.sg]
gaulois	[n.f] - galo [n.f]
gaulois	[n.m.sp] - galo [n.m.ND]
gaulois	[n.m.sp] - galo [n.m.pl]
gaulois	[n.m.sp] - galo [n.m.sg]
Gaultier	[np] - Gaultier [np]
Gaumont	[np] - Gaumont [np]
Gautier	[np] - Gautier [np]
Gavà	[np] - Gavà [np]
gaz	[n.m.sp] - gas [n.m.ND]
gaz	[n.m.sp] - gas [n.m.pl]
gaz	[n.m.sp] - gas [n.m.sg]
Gaza	[np] - Gaza [np]
Gazprom	[np] - Gazprom [np]
Gaztañaga	[np] - Gaztañaga [np]
Gaztedi	[np] - Gaztedi [np]
gaztekutxa	[np] - gaztekutxa [np]
GBR	[n.acr] - GBR [n.acr]
gche	[n] - izda [n]
GDF-Suez	[np] - GDF-Suez [np]
GED	[np] - GED [np]
Gehry	[np] - Gehry [np]
Geir Haarde	[np] - Geir Haarde [np]
gel	[n] - gel [n]
gel	[n] - hielo [n]
geler	[vblex] - congelar [vblex]
Gema	[np] - Gema [np]
Gemayel	[np] - Gemayel [np]
Gemeaux	[np] - Géminis [np]
Gemma	[np] - Gemma [np]
gendarme	[n] - gendarme [n]
gendarmerie	[n] - gendarmería [n]
gendre	[n] - yerno [n]
Generalitat	[np.al] - Generalitat [np.al]
generation	[n] - generación [n]
Geneviève	[np] - Geneviève [np]
Gengis Khan	[np] - Gengis Kan [np]
genou	[n.m] - rodilla [n.f]
genre	[n] - género [n]
gens	[n.m.pl] - gente [n.f.pl]
gens	[n.m.pl] - gente [n.f.sg]
gentil	[adj.f] - amable [adj.mf]
gentil	[adj.GD] - amable [adj.mf]
gentil	[adj.m] - amable [adj.mf]
gentilhomme	[n] - hidalgo [n]
gentillesse	[n] - gentileza [n]
Genève	[np] - Ginebra [np]
Geographic	[np] - Geographic [np]
George	[np] - George [np]
George Berkeley	[np] - George Berkeley [np]
George Town	[np] - George Town [np]
George W. Bush	[np] - George W. Bush [np]
Georges	[np] - Georges [np]
Georgetown	[np] - Georgetown [np]
Georgie du Sud-et-les Îles Sandwich du Sud	[np] - Islas Georgias del Sur y Sandwich del Sur [np]
